Total packets,Total size,Mean size,Mean inter-arrival,Scenario
103,10001,97.09708738,0.002353696,0
23,2084,90.60869565,0.009078864,0
294,29105,98.99659864,0.00068187,0
100,9752,97.52,0.002423798,0
60,5814,96.9,0.003970407,0
64,6107,95.421875,0.00331354,0
251,24900,99.20318725,0.000903816,0
99,9690,97.87878788,0.002469939,0
80,7516,93.95,0.003121911,0
52,5090,97.88461538,0.004456804,0
184,18136,98.56521739,0.001101257,0
114,10925,95.83333333,0.002120991,0
117,11692,99.93162393,0.001726672,0
81,7784,96.09876543,0.002717063,0
59,5702,96.6440678,0.003456879,0
164,15997,97.54268293,0.001471847,0
114,11439,100.3421053,0.002110566,0
79,7595,96.13924051,0.002564064,0
133,13008,97.80451128,0.001537447,0
66,6245,94.62121212,0.0030586,0
170,16984,99.90588235,0.001416935,0
86,8140,94.65116279,0.002347129,0
117,11722,100.1880342,0.001726491,0
81,7712,95.20987654,0.002988612,0
114,11221,98.42982456,0.002184018,0
102,9970,97.74509804,0.002240515,0
157,15408,98.14012739,0.001559846,0
108,10656,98.66666667,0.00231014,0
110,10596,96.32727273,0.002287725,0
46,4403,95.7173913,0.004911867,0
96,9085,94.63541667,0.002109389,0
178,17602,98.88764045,0.001354294,0
112,11030,98.48214286,0.001802432,0
116,11342,97.77586207,0.001804096,0
75,7243,96.57333333,0.002703459,0
104,10098,97.09615385,0.002320883,0
74,7176,96.97297297,0.003232877,0
135,13473,99.8,0.001620679,0
145,14201,97.93793103,0.001493778,0
75,7239,96.52,0.002699892,0
112,11039,98.5625,0.002159333,0
53,5166,97.47169811,0.003827519,0
194,18972,97.79381443,0.001032777,0
77,7417,96.32467532,0.003156171,0
99,9736,98.34343434,0.002317582,0
128,12612,98.53125,0.00195422,0
81,7937,97.98765432,0.003067537,0
169,16680,98.69822485,0.001460845,0
110,10631,96.64545455,0.002270606,0
83,8091,97.48192771,0.002716134,0
110,10654,96.85454545,0.001917358,0
81,7859,97.02469136,0.00294885,0
139,13739,98.84172662,0.00161929,0
133,13028,97.95488722,0.001684447,0
82,7802,95.14634146,0.003022753,0
75,7216,96.21333333,0.002664649,0
132,12910,97.8030303,0.001815931,0
53,5161,97.37735849,0.003844615,0
202,19841,98.22277228,0.001080403,0
80,7670,95.875,0.002524937,0
133,13214,99.35338346,0.001873205,0
76,7345,96.64473684,0.002972067,0
92,8870,96.41304348,0.002324659,0
69,6530,94.63768116,0.002890206,0
70,6745,96.35714286,0.003582232,0
195,19297,98.95897436,0.001122113,0
157,15394,98.05095541,0.001510256,0
77,7318,95.03896104,0.003248,0
139,13476,96.94964029,0.001795203,0
102,9918,97.23529412,0.002340307,0
106,10268,96.86792453,0.002069238,0
105,10180,96.95238095,0.001923971,0
103,10248,99.49514563,0.002052667,0
85,8049,94.69411765,0.002873417,0
68,6450,94.85294118,0.003522866,0
71,6899,97.16901408,0.003167471,0
96,9335,97.23958333,0.002475442,0
54,5138,95.14814815,0.003480811,0
199,19566,98.32160804,0.001143662,0
68,6666,98.02941176,0.003485761,0
93,8880,95.48387097,0.002339609,0
57,5310,93.15789474,0.004064286,0
120,11900,99.16666667,0.00188805,0
106,10247,96.66981132,0.002089533,0
300,29766,99.22,0.000809555,0
151,14723,97.50331126,0.001658653,0
112,10738,95.875,0.002194622,0
110,10765,97.86363636,0.002202596,0
78,7495,96.08974359,0.003203325,0
59,5657,95.88135593,0.003113017,0
119,11543,97,0.001813746,0
125,12036,96.288,0.001792194,0
98,9649,98.45918367,0.00230799,0
111,10907,98.26126126,0.002112545,0
100,9531,95.31,0.002416778,0
59,5694,96.50847458,0.003285948,0
144,14052,97.58333333,0.001710294,0
96,9259,96.44791667,0.002000853,0
202,20011,99.06435644,0.001136358,0
90,8728,96.97777778,0.002445371,0
68,6440,94.70588235,0.003363701,0
135,13424,99.43703704,0.001769858,0
131,12713,97.04580153,0.001628877,0
